add-none,2,100,400,161436,403,0
add-none,2,1000,4000,179620,44,0
add-none,2,10000,40000,903127,22,-550
add-none,2,100000,400000,6594266,16,-24498
add-none,4,100,800,228204,285,0
add-none,4,1000,8000,265571,33,-86
add-none,4,10000,80000,1612791,20,-1561
add-none,4,100000,800000,15888389,19,-43996
add-none,8,100,1600,297661,186,0
add-none,8,1000,16000,456956,28,469
add-none,8,10000,160000,3519893,21,-707
add-none,8,100000,1600000,33485738,20,-29397
add-none,12,100,2400,392293,163,33
add-none,12,1000,24000,637011,26,232
add-none,12,10000,240000,5008230,20,-1874
add-none,12,100000,2400000,50282085,20,-58173
add-yield-none,2,10,40,215065,5376,0
add-yield-none,4,10,80,218192,2727,1
add-yield-none,8,10,160,277366,1733,0
add-yield-none,12,10,240,425934,1774,5
add-yield-none,2,20,80,153661,1920,6
add-yield-none,4,20,160,249799,1561,5
add-yield-none,8,20,320,334064,1043,33
add-yield-none,12,20,480,430325,896,78
add-yield-none,2,40,160,278579,1741,0
add-yield-none,4,40,320,268040,837,39
add-yield-none,8,40,640,343315,536,12
add-yield-none,12,40,960,423004,440,119
add-yield-none,2,80,320,295070,922,10
add-yield-none,4,80,640,318441,497,103
add-yield-none,8,80,1280,382537,298,111
add-yield-none,12,80,1920,481478,250,62
add-yield-none,2,100,400,262905,657,-50
add-yield-none,4,100,800,314467,393,65
add-yield-none,8,100,1600,514059,321,159
add-yield-none,12,100,2400,540100,225,197
add-yield-none,2,1000,4000,1480813,370,49
add-yield-none,4,1000,8000,1501720,187,26
add-yield-none,8,1000,16000,2048607,128,-90
add-yield-none,12,1000,24000,2742482,114,-315
add-yield-none,2,10000,40000,13541971,338,32
add-yield-none,4,10000,80000,13012591,162,17
add-yield-none,8,10000,160000,17512503,109,-99
add-yield-none,12,10000,240000,24560794,102,-1769
add-yield-none,2,100000,400000,130462043,326,-1789
add-yield-none,4,100000,800000,131661168,164,-2736
add-yield-none,8,100000,1600000,176189556,110,-30724
add-yield-none,12,100000,2400000,247731396,103,-19373
add-none,1,100,200,137339,686,0
add-none,1,1000,2000,143715,71,0
add-none,1,10000,20000,300595,15,0
add-none,1,100000,200000,1998341,9,0
add-none,1,1000000,2000000,17437942,8,0
add-none,2,100,400,216082,540,22
add-none,2,1000,4000,170612,42,0
add-none,2,10000,40000,695067,17,-1938
add-none,2,100000,400000,5525277,13,-7011
add-none,2,1000000,4000000,65547838,16,-302255
add-none,4,100,800,164613,205,0
add-none,4,1000,8000,246939,30,204
add-none,4,10000,80000,1839864,22,-1872
add-none,4,100000,800000,15392019,19,-60541
add-none,4,1000000,8000000,149706496,18,-293808
add-yield-none,1,100,200,235336,1176,0
add-yield-none,1,1000,2000,1176057,588,0
add-yield-none,1,10000,20000,10012755,500,0
add-yield-none,1,100000,200000,99999715,499,0
add-yield-none,1,1000000,2000000,976564700,488,0
add-yield-none,2,100,400,279793,699,45
add-yield-none,2,1000,4000,1335184,333,0
add-yield-none,2,10000,40000,13364985,334,-755
add-yield-none,2,100000,400000,116496096,291,1516
add-yield-none,2,1000000,4000000,1130844587,282,-71493
add-yield-none,4,100,800,341211,426,126
add-yield-none,4,1000,8000,1582994,197,97
add-yield-none,4,10000,80000,13906009,173,-655
add-yield-none,4,100000,800000,136533897,170,-7293
add-yield-none,4,1000000,8000000,1332647042,166,-10614
add-yield-m,2,10000,40000,37469943,936,0
add-yield-m,4,10000,80000,104694818,1308,0
add-yield-m,8,10000,160000,228922558,1430,0
add-yield-m,12,10000,240000,347836493,1449,0
add-yield-c,2,10000,40000,24679776,616,0
add-yield-c,4,10000,80000,51591719,644,0
add-yield-c,8,10000,160000,113904999,711,0
add-yield-c,12,10000,240000,237021922,987,0
add-yield-s,2,10000,40000,32381574,809,0
add-yield-s,4,10000,80000,99375645,1242,0
add-yield-s,8,1000,16000,24271807,1516,0
add-yield-s,12,1000,24000,42365023,1765,0
add-m,1,10000,20000,744088,37,0
add-m,2,10000,40000,3724664,93,0
add-m,4,10000,80000,15979148,199,0
add-m,8,10000,160000,32033405,200,0
add-m,12,10000,240000,48515094,202,0
add-c,1,10000,20000,587686,29,0
add-c,2,10000,40000,4819398,120,0
add-c,4,10000,80000,7171204,89,0
add-c,8,10000,160000,16414963,102,0
add-c,12,10000,240000,28613957,119,0
add-s,1,10000,20000,460980,23,0
add-s,2,10000,40000,8776678,219,0
add-s,4,10000,80000,38894537,486,0
add-s,8,10000,160000,132569848,828,0
add-s,12,10000,240000,306799814,1278,0
