list-none-none,1,10,1,30,95217,3173
list-none-none,1,100,1,300,132528,441
list-none-none,1,1000,1,3000,4018965,1339
list-none-none,1,10000,1,30000,798480675,26616
list-none-none,1,20000,1,60000,4076616742,67943
list-none-none,2,10,1,60,116916,1948
list-none-none,2,100,1,600,527918,879
list-none-none,4,1,1,12,187409,15617
list-none-none,12,1,1,36,384813,10689
list-i-none,2,2,1,12,101936,8494
list-i-none,2,4,1,24,126862,5285
list-i-none,2,8,1,48,130784,2724
list-i-none,2,32,1,192,178106,927
list-i-none,4,2,1,24,172100,7170
list-i-none,4,16,1,192,178795,931
list-i-none,8,1,1,24,284647,11860
list-i-none,8,2,1,48,229534,4781
list-i-none,8,4,1,96,254034,2646
list-i-none,8,16,1,384,252447,657
list-i-none,12,1,1,36,441524,12264
list-i-none,12,4,1,144,337891,2346
list-i-none,12,8,1,288,371058,1288
list-i-none,12,16,1,576,407403,707
list-d-none,2,2,1,12,147467,12288
list-d-none,2,8,1,48,98963,2061
list-d-none,2,16,1,96,92252,960
list-d-none,2,32,1,192,150669,784
list-d-none,4,1,1,12,178449,14870
list-d-none,4,2,1,24,154951,6456
list-d-none,4,8,1,96,139308,1451
list-d-none,4,16,1,192,149174,776
list-d-none,8,1,1,24,210802,8783
list-d-none,8,4,1,96,273141,2845
list-d-none,8,16,1,384,266040,692
list-d-none,12,1,1,36,405380,11260
list-d-none,12,4,1,144,351916,2443
list-d-none,12,8,1,288,359168,1247
list-il-none,2,2,1,12,105151,8762
list-il-none,2,4,1,24,141049,5877
list-il-none,2,16,1,96,81341,847
list-il-none,4,2,1,24,156772,6532
list-il-none,4,4,1,48,140786,2933
list-il-none,4,8,1,96,138639,1444
list-il-none,8,2,1,48,285830,5954
list-il-none,12,8,1,288,355824,1235
list-dl-none,2,2,1,12,125344,10445
list-dl-none,2,32,1,192,169326,881
list-dl-none,4,2,1,24,214038,8918
list-dl-none,4,8,1,96,145676,1517
list-dl-none,4,16,1,192,168885,879
list-dl-none,8,1,1,24,297796,12408
list-dl-none,8,2,1,48,271928,5665
list-dl-none,8,4,1,96,244065,2542
list-dl-none,8,8,1,192,256266,1334
list-dl-none,8,16,1,384,274153,713
list-dl-none,12,1,1,36,447639,12434
list-dl-none,12,4,1,144,369069,2562
list-dl-none,12,8,1,288,402394,1397
list-i-m,12,32,1,1152,1745376,1515
list-d-m,12,32,1,1152,417305,362
list-il-m,12,32,1,1152,2016491,1750
list-dl-m,12,32,1,1152,391318,339
list-i-s,12,32,1,1152,1829866,1588
list-d-s,12,32,1,1152,2383823,2069
list-il-s,12,32,1,1152,2264790,1965
list-dl-s,12,32,1,1152,3083241,2676
list-none-none,1,1000,1,3000,3967129,1322
list-none-m,1,1000,1,3000,4029533,1343
list-none-m,2,1000,1,6000,26703794,4450
list-none-m,4,1000,1,12000,103838742,8653
list-none-m,8,1000,1,24000,446050557,18585
list-none-m,12,1000,1,36000,1108285514,30785
list-none-m,16,1000,1,48000,2254854748,46976
list-none-m,24,1000,1,72000,4197824704,58303
list-none-s,1,1000,1,3000,4009806,1336
list-none-s,2,1000,1,6000,22633846,3772
list-none-s,4,1000,1,12000,238122308,19843
list-none-s,8,1000,1,24000,2002118566,83421
list-none-s,12,1000,1,36000,2289524478,63597
list-none-s,16,1000,1,48000,8393235723,174859
list-none-s,24,1000,1,72000,41762387942,580033
